,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
CAL-51,CAL51,Breast,26,CAL-51,NA,505,-0.052741496,CAL-51,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,breast,CAL51,Breast,"Effusion, Pleural",Breast,Adenocarcinoma,45,Years,Female,NA,351,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",CAL-51,CAL-51
CAL-54,CAL 54,Kidney,72,CAL-54,NA,762,-0.391262753,CAL-54,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,7.226038071,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,kidney,CAL 54,Kidney,NA,Kidney,Carcinoma,NA,NA,NA,NA,210,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine, 100mM HEPES","Complete growth medium, 90%; DMSO, 10%",CAL-54,CAL-54
Calu-3,Calu-3,Lung,47,Calu-3,Calu-3,2047,0.608866867,Calu-3,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,lung,Calu-3,Lung,NA,Lung,Adenocarcinoma,25,Years,Male,Caucasian,511,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Calu-3,Calu-3
CAMA-1,CAMA-1,Breast,53,CAMA-1,CAMA-1,3607,0.575522748,CAMA-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,breast,CAMA-1,Breast,NA,Breast,Adenocarcinoma,51,Years,Female,Caucasian,562,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete Growth media, 10% DMSO",CAMA-1,CAMA-1
CAPAN-1,Capan-1,Pancreas,65,CAPAN-1,NA,4113,1.010979478,CAPAN-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,pancreas,Capan-1,Pancreas,NA,Pancreas,Adenocarcinoma,40,Years,Male,Caucasian,426,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,Capan-1,CAPAN-1
Capan-2,Capan-2,Pancreas,43,Capan-2,Capan-2,2391,0.827621063,Capan-2,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,pancreas,Capan-2,Pancreas,NA,Pancreas,Adenocarcinoma,56,Years,Male,Caucasian,425,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,Capan-2,Capan-2
CaR-1,CaR-1,Colon,40,CaR-1,NA,1790,0.976910963,CaR-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,large_intestine,CaR-1,Colo-Rectal,NA,Colon,Adenocarcinoma,NA,NA,NA,NA,24,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,CaR-1
Ca-Ski,Ca Ski,Cervix,40,Ca-Ski,NA,1431,0.929434519,Ca-Ski,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,10.26790689,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,cervix,Ca Ski,Cervix,NA,Cervix,Carcinoma,NA,NA,NA,NA,269,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,Ca-Ski
CCF-STTG1,CCF-STTG1,Brain,68,CCF-STTG1,NA,2172,NA,CCF-STTG1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CFPAC-1,CFPAC-1,Pancreas,45,CFPAC-1,NA,856,NA,CFPAC-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pancreas,CFPAC-1,Pancreas,NA,Pancreas,Adenocarcinoma Ductal,NA,NA,Male,Caucasian,424,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,CFPAC-1,CFPAC-1
CGTH-W-1,CGTH-W-1,Thyroid,28,CGTH-W-1,NA,193,NA,CGTH-W-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thyroid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChaGo-K-1,ChaGo-K-1,Lung,45,ChaGo-K-1,NA,2439,0.839690895,ChaGo-K-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,lung,ChaGo-K-1,Lung,NA,Lung,Carcinoma,45,Years,Male,NA,242,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",ChaGo-K-1,ChaGo-K-1
CHL-1,CHL-1,Lung,43,CHL-1,CHL-1,244,-0.657961794,CHL-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,skin,CHL-1,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,241,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",CHL-1,CHL-1
CHP-212,CHP-212,Brain,58,CHP-212,CHP-212,2428,-0.630386908,CHP-212,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,autonomic_ganglia,CHP-212,Brain,NA,Brain,Neuroblastoma,NA,NA,NA,NA,297,TRUE,"RPMI-1640 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",CHP-212,CHP-212
CI-1,CI-1,Lymphoid,27,NA,CI-1,2465,-0.678276766,CI-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,CI-1,Lymphoid,NA,Lymph Node,Lymphoma Non-Hodgkins,38,Years,Female,NA,485,TRUE,"RPMI-1640, 20% HI FBS, 2mM Glutamine","Complete growth medium, 90%; DMSO, 10%",CI-1,NA
COLO 201,COLO 201,Colon,40,NA,COLO 201,3339,0.779783989,COLO 201,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,large_intestine,COLO 201,Colo-Rectal,NA,Colon,Adenocarcinoma,70,Years,Male,Caucasian,263,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COLO 201,NA
COLO-205,COLO 205,Colon,24,COLO-205,COLO 205,2145,NA,COLO-205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,COLO 205,Colo-Rectal,Ascites,Colon,Adenocarcinoma,70,Years,Male,Caucasian,263,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COLO 205,COLO-205
COLO-320,COLO 320,Colon,NA,NA,COLO-320,2592,NA,COLO-320,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,large_intestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COLO-320-HSR,COLO 320HSR,Colon,27,COLO-320-HSR,NA,2650,-1.009941199,COLO-320-HSR,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,large_intestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COLO-678,COLO 678,Colon,60,COLO-678,COLO-678,3958,0.91918642,COLO-678,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,large_intestine,COLO 678,Colo-Rectal,NA,Colon,Carcinoma,69,Years,Male,NA,524,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COLO-678,COLO-678
COLO-679,COLO 679,Skin,34,COLO-679,COLO-679,1597,-0.444610393,COLO-679,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,skin,COLO 679,Skin,NA,Skin,Melanoma,47,Years,Female,NA,606,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COLO-679,COLO-679
COLO-680N,COLO 680N,Esophagus,45,COLO-680N,NA,1513,0.879458508,COLO-680N,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,8.573292278,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,oesophagus,COLO 680N,Head-Neck,NA,Esophagus,Carcinoma Squamous Cell,57,Years,Female,African,30,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COLO-680N,COLO-680N
COLO-684,COLO 684,Uterus,NA,COLO-684,NA,7071,NA,COLO-684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COLO-741,COLO 741,Colon,32,COLO-741,COLO 741,2194,-0.51529576,COLO-741,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,large_intestine,COLO 741,Colo-Rectal,NA,Colon,Carcinoma,69,Years,NA,NA,525,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","90% Complete Growth Media, 10% DMSO",COLO 741,COLO-741
COLO-800,COLO 800,Skin,45,COLO-800,NA,848,-0.871842765,COLO-800,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,skin,COLO 800,Skin,NA,Skin,Melanoma,14,Years,Male,NA,71,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COLO-800,COLO-800
COLO-829,COLO 829,Blood,56,COLO-829,NA,2036,-0.513462102,COLO-829,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,skin,COLO 829,Skin,NA,Skin,Melanoma,45,Years,Male,Caucasian,70,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COLO 829,NA
COR-L279,COR-L279,Lung,NA,COR-L279,NA,5064,0.173584792,COR-L279,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,COR-L279,Lung,NA,Lung,Carcinoma Small Cell,63,Years,Male,NA,192,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COR-L279,COR-L279
COR-L88,COR-L88,Lung,NA,COR-L88,NA,13045,0.254806856,COR-L88,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,COR-L88,Lung,NA,Lung,Carcinoma Small Cell,55,Years,Male,Caucasian,98,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COR-L88,COR-L88
COV318,COV318,Ovary,57,NA,COV318,1137,-0.138745459,COV318,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,3.689062702,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,ovary,COV318,Ovary,Ascites,Ovary,Carcinoma,NA,NA,NA,NA,228,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COV318,NA
COV504,COV504,Ovary,71,NA,COV504,1533,-0.003768543,COV504,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,3.689062702,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,ovary,COV504,Ovary,Pleura,Ovary,Carcinoma,NA,NA,NA,NA,204,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",COV504,NA
CW-2,CW-2,Colon,40,CW-2,NA,3792,0.889186958,CW-2,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,large_intestine,CW-2,Colo-Rectal,NA,Colon,Carcinoma,45,Years,Female,Japanese,22,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",CW-2,CW-2
Daudi,Daudi,Blood,34,Daudi,NA,7721,-0.695091534,Daudi,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,haematopoietic_and_lymphoid_tissue,Daudi,Lymphoid,NA,Blood,Malignant Lymphoma - Burkitts Type,NA,NA,NA,NA,583,TRUE,"RPMI-1640 10% HI FBS, 2mM Glutamine","Complete growth medium, 90%; DMSO, 10%",Daudi,Daudi
DB,DB,Lymphoid,50,DB,NA,1129,-0.577190988,DB,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,haematopoietic_and_lymphoid_tissue,DB,Lymphoid,NA,Lymph Node,Lymphoma B-cell,45,Years,Male,Caucasian,484,TRUE,"RPMI-1640 10% HI FBS, 2mM Glutamine","Complete Growth Media, 90%; DMSO, 10%",DB,DB
DEL,DEL,NA,22,DEL,DEL,NA,NA,DEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit562,Detroit 562,Head and Neck,35,Detroit562,Detroit 562,1016,0.859300378,Detroit562,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,6.976245921,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,upper_aerodigestive_tract,Detroit 562,Head-Neck,NA,Nasal Pharynx,Carcinoma,NA,NA,Female,Caucasian,169,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","90% FBS; DMSO, 10%",Detroit 562,Detroit562
DMS-273,DMS 273,Lung,36,DMS-273,NA,1547,-0.778427203,DMS-273,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,DMS 273,Lung,NA,Lung,Carcinoma Small Cell,50,Years,Female,NA,156,TRUE,"Waymouth's MB 752/1 medium, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",DMS 273,DMS-273
DOHH-2,DOHH-2,Lymphoid,17,DOHH-2,DOHH-2,7500,-0.901204542,DOHH-2,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,DOHH-2,Lymphoid,"Effusion, Pleural",Lymph Node,Lymphoma B-cell,60,Years,Male,NA,483,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine",90% Complete growth medium; 10% DMSO,DOHH-2,DOHH-2
DU-145,DU 145,Prostate,28,DU-145,DU 145,641,0.330940973,DU-145,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,13.61070683,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,prostate,DU 145,Other,NA,Prostate,Carcinoma,69,Years,Male,Caucasian,134,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",DU 145,DU-145
DV-90,DV-90,Lung,36,DV-90,DV-90,2330,0.820241015,DV-90,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,lung,DV-90,Lung,NA,Lung,Adenocarcinoma,50,Years,Male,NA,240,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",DV-90,DV-90
EB1,EB1,Lymphoid,NA,NA,EB1,3210,-0.827151924,EB1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,EB1,Lymphoid,NA,Lymph Node,Malignant Lymphoma - Burkitts Type,NA,NA,NA,NA,104,FALSE,"RPMI-1640 10% HI FBS, 2mM Glutamine","RPMI-1640, 20% HI FBS, 10% DMSO",EB1,NA
EB2,EB2,Lymphoid,26,EB2,EB2,1506,-0.395689344,EB2,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,EB2,Lymphoid,NA,Blood,Malignant Lymphoma - Burkitts Type,7,Years,Female,African,104,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",EB2,EB2
EB-3,EB-3,Blood,29,EB-3,NA,2819,-0.870892815,EB-3,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,EB-3,Lymphoid,NA,Blood,Malignant Lymphoma - Burkitts Type,3,Years,Male,African,482,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,EB-3
